Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,9,1,10,1.43
CGY,7,2,9,1.29
EDM,5,6,11,1.38
HAM,10,2,12,1.71
MTL,12,5,17,2.83
OTT,3,0,3,0.43
SSK,3,3,6,0.86
TOR,3,1,4,0.67
WPG,8,0,8,1.14
CFL,60,20,80,2.58
