Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,16,1,17,1.89
CGY,9,4,13,1.44
EDM,5,7,12,1.33
HAM,12,2,14,1.75
MTL,12,5,17,2.13
OTT,3,0,3,0.33
SSK,3,3,6,0.67
TOR,4,1,5,0.63
WPG,11,0,11,1.22
CFL,75,23,98,2.51
