Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,18,2,20,1.67
CGY,10,5,15,1.25
EDM,6,7,13,1.08
HAM,15,2,17,1.55
MTL,15,8,23,2.09
OTT,5,2,7,0.64
SSK,4,4,8,0.73
TOR,6,1,7,0.70
WPG,11,0,11,0.92
CFL,90,31,121,2.37
