Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,20,3,23,1.44
CGY,12,6,18,1.20
EDM,10,7,17,1.06
HAM,19,3,22,1.38
MTL,19,8,27,1.69
OTT,11,4,15,0.94
SSK,5,6,11,0.69
TOR,10,2,12,0.80
WPG,13,0,13,0.81
CFL,119,39,158,2.23
