Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,21,3,24,1.33
CGY,12,6,18,1.06
EDM,11,7,18,1.00
HAM,19,4,23,1.35
MTL,20,8,28,1.65
OTT,11,4,15,0.88
SSK,7,6,13,0.72
TOR,10,2,12,0.71
WPG,13,0,13,0.76
CFL,124,40,164,2.10
