Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,8,1,9,1.80
CGY,6,2,8,1.60
EDM,2,4,6,1.00
HAM,7,2,9,1.80
MTL,12,5,17,3.40
OTT,3,0,3,0.60
SSK,3,2,5,1.00
TOR,2,1,3,0.75
WPG,8,0,8,1.33
CFL,51,17,68,2.96
